id;plz;ortsteil;strasse;hausnummer;baumnummer;baumart;pflanzjahr
1;14195;Dahlem;Bachstelzenweg;3;R0059;"Prunus serrulata 'Kanzan'";2021
4;14195;Dahlem;Bachstelzenweg;1/1A;R0033;"Prunus sargentii";2021
7;14195;Dahlem;Bachstelzenweg;1A;R0051;"Tilia cordata 'Rancho'";2021
10;14195;Dahlem;Bachstelzenweg;9a;R0141;"Tilia cordata 'Rancho'";2021
13;14195;Dahlem;Bachstelzenweg;"ggü 1A";L0034;"Prunus sargentii";2021
16;14195;Dahlem;Bachstelzenweg;ggü1;L0020;"Tilia cordata 'Rancho'";2021
19;14195;Dahlem;Bachstelzenweg;ggü3;L0070;"Tilia cordata 'Rancho'";2021
22;14195;Dahlem;"Balbronner Straße";1;R0225;"Parrotia persica";2022
25;14195;Dahlem;"Balbronner Straße";3;R0197;"Parrotia persica";2022
28;14195;Dahlem;"Balbronner Straße";6;L0170;"Parrotia persica";2022
31;14195;Dahlem;"Balbronner Straße";10;L0121;"Parrotia persica";2022
34;14195;Dahlem;"Balbronner Straße";11;R0107;"Parrotia persica";2022
37;14195;Dahlem;"Balbronner Straße";12;L0095;"Parrotia persica";2022
40;14195;Dahlem;"Balbronner Straße";15;R0059;"Parrotia persica";2022
43;14195;Dahlem;"Balbronner Straße";16;L0048;"Parrotia persica";2022
46;14195;Dahlem;Ehrenbergstraße;13;L0524;"Aesculus glabra";2022
49;14195;Dahlem;Ehrenbergstraße;16;R0457;"Aesculus glabra";2022
52;14195;Dahlem;Ehrenbergstraße;20;R0334;"Aesculus glabra";2022
55;14195;Dahlem;Ehrenbergstraße;21;L0364;"Aesculus glabra";2022
58;14195;Dahlem;Ehrenbergstraße;24;R0285;"Aesculus glabra";2022
61;14195;Dahlem;Ehrenbergstraße;24;R0296;"Aesculus glabra";2022
64;14195;Dahlem;Ehrenbergstraße;37;L0071;"Aesculus glabra";2022
67;14195;Dahlem;Ehrenbergstraße;1b;L0692;"Aesculus glabra";2022
70;14195;Dahlem;Ehrenbergstraße;26-28;R0219;"Aesculus glabra";2022
73;14195;Dahlem;Ehrenbergstraße;36B;R0064;"Aesculus glabra";2022
76;14195;Dahlem;Ehrenbergstraße;"ggü 3";R0657;"Aesculus glabra";2022
